address,addressnum,bbl,bin,boro,borocode,capacity,captype,cd,city,council,ct2010,ct2020,datasource,facdomain,facgroup,facname,facsubgrp,factype,latitude,longitude,nta2010,nta2020,opabbrev,opname,optype,overabbrev,overagency,overlevel,policeprct,schooldist,servarea,streetname,uid,xcoord,ycoord,zipcode,_ntacode,_ntaname
37-12 82 STREET,37-12,4012920012,4030014,QUEENS,4,0,,403,JACKSON HEIGHTS,21,28300,28300,nysdoh_healthfacilities,HEALTH AND HUMAN SERVICES,HEALTH CARE,MOUNT SINAI HOSPITAL - MOUNT SINAI HOSPITAL QUEENS,HOSPITALS AND CLINICS,HOSPITAL EXTENSION CLINIC,40.74901845,-73.88447106,QN28,QN0301,Non-public,The Mount Sinai Hospital,Non-public,NYSDOH,NYS Department of Health,State,115,30,Regional,82 STREET,384a388baba6908b43643b5cd050250c,1016260.396,212185.3864,11372,QN28,Jackson Heights
34-35 70 STREET,34-35,4012570052,4028823,QUEENS,4,0,,403,JACKSON HEIGHTS,25,29100,29100,nysdoh_healthfacilities,HEALTH AND HUMAN SERVICES,HEALTH CARE,FMS-QUEENS ARTIFICAL KIDNEY CENTER,HOSPITALS AND CLINICS,DIAGNOSTIC AND TREATMENT CENTER EXTENSION CLINIC,40.75163033,-73.8957299,QN28,QN0301,Non-public,New York Dialysis Services Inc,Non-public,NYSDOH,NYS Department of Health,State,115,30,Regional,70 STREET,45b898b25543e9f6120a4b58e16b994e,1013139.701,213133.0642,11372,QN28,Jackson Heights
74-20 25 AVENUE,74-20,4010500002,4437061,QUEENS,4,0,,403,EAST ELMHURST,22,30902,30905,nysdoh_healthfacilities,HEALTH AND HUMAN SERVICES,HEALTH CARE,LEXINGTON HEARING & SPEECH CENTER INC,HOSPITALS AND CLINICS,DIAGNOSTIC AND TREATMENT CENTER,40.76134689,-73.89399999,QN28,QN0301,Non-public,Lexington Hearing & Speech Center Inc,Non-public,NYSDOH,NYS Department of Health,State,115,30,Regional,25 AVENUE,d803c1684bf6d9986bc430821b1b05c3,1013614.716,216673.6929,11370,QN28,Jackson Heights
72-06 NORTHERN BOULEVARD,72-06,4012450001,4028601,QUEENS,4,0,,403,JACKSON HEIGHTS,25,29100,29100,nysdoh_healthfacilities,HEALTH AND HUMAN SERVICES,HEALTH CARE,MAIN STREET RADIOLOGY AT BAYSIDE LLC,HOSPITALS AND CLINICS,DIAGNOSTIC AND TREATMENT CENTER EXTENSION CLINIC,40.75434739,-73.89433656,QN28,QN0301,Non-public,Main Street Radiology at Bayside LLC,Non-public,NYSDOH,NYS Department of Health,State,115,30,Regional,NORTHERN BOULEVARD,dd8b95e23ff6f87fe0e628fc7082f997,1013524.554,214123.4383,11372,QN28,Jackson Heights
73-15 NORTHERN BOULEVARD,73-15,4011690033,4026512,QUEENS,4,0,,403,JACKSON HEIGHTS,25,30902,30906,nysdoh_healthfacilities,HEALTH AND HUMAN SERVICES,HEALTH CARE,NYP/QUEENS FAMILY HEALTH CENTER,HOSPITALS AND CLINICS,HOSPITAL EXTENSION CLINIC,40.75509748,-73.89308292,QN28,QN0301,Non-public,NewYork-Presbyterian/Queens,Non-public,NYSDOH,NYS Department of Health,State,115,30,Regional,NORTHERN BOULEVARD,ef0d6641bb68069e925baf5d6ddcf3c5,1013871.547,214397.1405,11372,QN28,Jackson Heights
82-11 37 AVENUE,82-11,4014560041,4035816,QUEENS,4,0,,403,JACKSON HEIGHTS,25,28300,28300,nysdoh_healthfacilities,HEALTH AND HUMAN SERVICES,HEALTH CARE,JACKSON HEIGHTS HEALTH CENTER,HOSPITALS AND CLINICS,DIAGNOSTIC AND TREATMENT CENTER EXTENSION CLINIC,40.75001167,-73.88406583,QN28,QN0301,Non-public,APICHA Community Health Center,Non-public,NYSDOH,NYS Department of Health,State,115,30,Regional,37 AVENUE,499dc1b356e7753a12292b58f00761c7,1016372.197,212547.3961,11372,QN28,JacksonHeights
87-41 PARSON BOULEVARD,,0,0,QUEENS,4,0,,408,JAMAICA,24,44602,44602,nysdoh_healthfacilities,HEALTH AND HUMAN SERVICES,HEALTH CARE,PS 86,HOSPITALS AND CLINICS,SCHOOL BASED DIAGNOSTIC AND TREATMENT CENTER EXTENSION CLINIC,40.707926,-73.802773,QN61,QN1201,Non-public,NYC Health and Hospitals Corporation,Non-public,NYSDOH,NYS Department of Health,State,107,28,Regional,,898d22c96c7954c72f6b4c1681109e93,1038930.718,197254.5753,11432,QN61,Jam_aica
175-37 LIBERTY AVENUE,175-37,4102190301,4539946,QUEENS,4,0,,412,JAMAICA,27,44400,44400,nysdoh_healthfacilities,HEALTH AND HUMAN SERVICES,HEALTH CARE,FMS-SOUTH QUEENS DIALYSIS CENTER,HOSPITALS AND CLINICS,DIAGNOSTIC AND TREATMENT CENTER EXTENSION CLINIC,40.70548937,-73.78369775,QN61,QN1201,Non-public,New York Dialysis Services Inc,Non-public,NYSDOH,NYS Department of Health,State,103,29,Regional,LIBERTY AVENUE,0d5ba8377dc0cd8a76728d7ae38ec95b,1044221.467,196379.3248,11433,QN61,Jamaica
90-04 161 STREET,90-04,4097570023,4208850,QUEENS,4,0,,412,JAMAICA,24,44601,44601,nysdoh_healthfacilities,HEALTH AND HUMAN SERVICES,HEALTH CARE,COMMUNITY HEALTHCARE NETWORK,HOSPITALS AND CLINICS,DIAGNOSTIC AND TREATMENT CENTER EXTENSION CLINIC,40.70517494,-73.79965512,QN61,QN1201,Non-public,Community Healthcare Network,Non-public,NYSDOH,NYS Department of Health,State,103,28,Regional,161 STREET,0d91526265269ec95359d060e0800165,1039797.435,196254.2475,11432,QN61,Jamaica
105-04 SUTPHIN BOULEVARD,105-04,4100560012,4215005,QUEENS,4,0,,412,JAMAICA,28,20400,20400,nysdoh_healthfacilities,HEALTH AND HUMAN SERVICES,HEALTH CARE,SUN RIVER HEALTH SUTHPIN BOULEVARD,HOSPITALS AND CLINICS,DIAGNOSTIC AND TREATMENT CENTER EXTENSION CLINIC,40.69526997,-73.80367244,QN61,QN1201,Non-public,"Sun River Health Care, Inc.",Non-public,NYSDOH,NYS Department of Health,State,103,28,Regional,SUTPHIN BOULEVARD,1d3f9905ff44ca503167fd463d04b7ae,1038691.686,192643.0559,11435,QN61,Jamaica
97-04 SUTPHIN BOULEVARD,97-04,4100300006,4214585,QUEENS,4,0,,412,JAMAICA,28,20800,20800,nysdoh_healthfacilities,HEALTH AND HUMAN SERVICES,HEALTH CARE,CHN MOBILE UNIT TWO,HOSPITALS AND CLINICS,MOBILE DIAGNOSTIC AND TREATMENT CENTER EXTENSION CLINIC,40.696915,-73.805971,QN61,QN1201,Non-public,Community Healthcare Network,Non-public,NYSDOH,NYS Department of Health,State,103,28,Regional,SUTPHIN BOULEVARD,1e49b5ab3daf2415bee9bf57400fba98,1038052.967,193240.9691,11435,QN61,Jamaica
92-12 165 STREET,92-12,4101510031,4216208,QUEENS,4,0,,412,JAMAICA,27,44601,44601,nysdoh_healthfacilities,HEALTH AND HUMAN SERVICES,HEALTH CARE,CITIMED SURGERY CENTER,HOSPITALS AND CLINICS,DIAGNOSTIC AND TREATMENT CENTER,40.70484884,-73.79478928,QN61,QN1201,Non-public,"CitiMed Surgey Center, LLC",Non-public,NYSDOH,NYS Department of Health,State,103,28,Regional,165 STREET,2682b78f0e6957bd4008506dd0d8e1dd,1041146.809,196138.5619,11433,QN61,Jamaica
97-04 SUTPHIN BOULEVARD,97-04,4100300006,4214585,QUEENS,4,0,,412,JAMAICA,28,20800,20800,nysdoh_healthfacilities,HEALTH AND HUMAN SERVICES,HEALTH CARE,COMMUNITY HEALTHCARE NETWORK,HOSPITALS AND CLINICS,MOBILE DIAGNOSTIC AND TREATMENT CENTER EXTENSION CLINIC,40.696915,-73.805971,QN61,QN1201,Non-public,Community Healthcare Network,Non-public,NYSDOH,NYS Department of Health,State,103,28,Regional,SUTPHIN BOULEVARD,33f8220086d67e387f181446e7aac2ed,1038052.967,193240.9691,11435,QN61,Jamaica
97-04 SUTPHIN BOULEVARD,97-04,4100300006,4214585,QUEENS,4,0,,412,JAMAICA,28,20800,20800,nysdoh_healthfacilities,HEALTH AND HUMAN SERVICES,HEALTH CARE,CHN MOBILE VAN V,HOSPITALS AND CLINICS,MOBILE DIAGNOSTIC AND TREATMENT CENTER EXTENSION CLINIC,40.696915,-73.805971,QN61,QN1201,Non-public,Community Healthcare Network,Non-public,NYSDOH,NYS Department of Health,State,103,28,Regional,SUTPHIN BOULEVARD,25317124c8e3bb6a25f383f4771a10c8,1038052.967,193240.9691,11435,QN61,Jamaica
97-04 SUTPHIN BOULEVARD,97-04,4100300006,4214585,QUEENS,4,0,,412,JAMAICA,28,20800,20800,nysdoh_healthfacilities,HEALTH AND HUMAN SERVICES,HEALTH CARE,CHN MOBILE UNIT THREE,HOSPITALS AND CLINICS,MOBILE DIAGNOSTIC AND TREATMENT CENTER EXTENSION CLINIC,40.696915,-73.805971,QN61,QN1201,Non-public,Community Healthcare Network,Non-public,NYSDOH,NYS Department of Health,State,103,28,Regional,SUTPHIN BOULEVARD,5f3b9f5c541f2ac0a06c8541a76bc5ac,1038052.967,193240.9691,11435,QN61,Jamaica
97-04 SUTPHIN BOULEVARD,97-04,4100300006,4214585,QUEENS,4,0,,412,JAMAICA,28,20800,20800,nysdoh_healthfacilities,HEALTH AND HUMAN SERVICES,HEALTH CARE,CHN - QUEENS CENTER,HOSPITALS AND CLINICS,DIAGNOSTIC AND TREATMENT CENTER EXTENSION CLINIC,40.696915,-73.805971,QN61,QN1201,Non-public,Community Healthcare Network,Non-public,NYSDOH,NYS Department of Health,State,103,28,Regional,SUTPHIN BOULEVARD,45fd8984aa1bb2378c19433d1a19b9f3,1038052.967,193240.9691,11435,QN61,Jamaica
175-20 HILLSIDE AVENUE,175-20,4098340016,4210392,QUEENS,4,0,,412,JAMAICA,27,46200,46200,nysdoh_healthfacilities,HEALTH AND HUMAN SERVICES,HEALTH CARE,SAINT JOSEPH'S MEDICAL CENTER QUEENS OTP,HOSPITALS AND CLINICS,HOSPITAL EXTENSION CLINIC,40.71162781,-73.78687072,QN61,QN1201,Non-public,"St. Josephs Hospital, Yonkers",Non-public,NYSDOH,NYS Department of Health,State,103,29,Regional,HILLSIDE AVENUE,70170791dc62a81ea027db61adecddc7,1043336.298,198613.5784,11432,QN61,Jamaica
147-32 JAMAICA AVENUE,147-32,4099950001,4213979,QUEENS,4,0,,412,JAMAICA,27,21200,21200,nysdoh_healthfacilities,HEALTH AND HUMAN SERVICES,HEALTH CARE,CHOICES WOMEN'S MEDICAL CENTER INC,HOSPITALS AND CLINICS,DIAGNOSTIC AND TREATMENT CENTER,40.70153763,-73.80659487,QN61,QN1201,Non-public,Choices Women's Medical Center Inc,Non-public,NYSDOH,NYS Department of Health,State,103,28,Regional,JAMAICA AVENUE,762dd1b21486e9efd9c13d0b67c34f8b,1037876.255,194924.7452,11435,QN61,Jamaica
90-37 PARSONS BOULEVARD,90-37,4097560006,4208836,QUEENS,4,0,,412,JAMAICA,24,44601,44601,nysdoh_healthfacilities,HEALTH AND HUMAN SERVICES,HEALTH CARE,PARSONS COMMUNITY HEALTH CENTER,HOSPITALS AND CLINICS,DIAGNOSTIC AND TREATMENT CENTER EXTENSION CLINIC,40.70409122,-73.80026848,QN61,QN1201,Non-public,NYC Health and Hospitals Corporation,Non-public,NYSDOH,NYS Department of Health,State,103,28,Regional,PARSONS BOULEVARD,86b1a8d91a77216f9dba90064589dfb3,1039628.275,195859.025,11432,QN61,Jamaica
90-37 PARSONS BOULEVARD,90-37,4097560006,4208836,QUEENS,4,0,,412,JAMAICA,24,44601,44601,nysdoh_healthfacilities,HEALTH AND HUMAN SERVICES,HEALTH CARE,JAMAICA HEALTH CENTER,HOSPITALS AND CLINICS,DIAGNOSTIC AND TREATMENT CENTER EXTENSION CLINIC,40.70409122,-73.80026848,QN61,QN1201,NYCDOHMH,NYC Department of Health and Mental Hygiene,Public,NYSDOH,NYS Department of Health,State,103,28,Regional,PARSONS BOULEVARD,66eca2780da22a71add4df685ec0a83b,1039628.275,195859.025,11432,QN61,Jamaica
137-50 JAMAICA AVENUE,137-50,4099700019,4213644,QUEENS,4,0,,412,JAMAICA,24,21200,21200,nysdoh_healthfacilities,HEALTH AND HUMAN SERVICES,HEALTH CARE,DAMIAN FAMILY CARE CENTER,HOSPITALS AND CLINICS,DIAGNOSTIC AND TREATMENT CENTER,40.70225558,-73.81510464,QN61,QN1201,Non-public,Schenectady County,Non-public,NYSDOH,NYS Department of Health,State,103,28,Regional,JAMAICA AVENUE,a8f7bcb071a5795d8b83512f284a02a4,1035516.166,195181.2174,11435,QN61,Jamaica
97-04 SUTPHIN BOULEVARD,97-04,4100300006,4214585,QUEENS,4,0,,412,JAMAICA,28,20800,20800,nysdoh_healthfacilities,HEALTH AND HUMAN SERVICES,HEALTH CARE,CHN MOBILE VAN VII,HOSPITALS AND CLINICS,MOBILE DIAGNOSTIC AND TREATMENT CENTER EXTENSION CLINIC,40.696915,-73.805971,QN61,QN1201,Non-public,Community Healthcare Network,Non-public,NYSDOH,NYS Department of Health,State,103,28,Regional,SUTPHIN BOULEVARD,b43301a6c64100861cc007caa9551f21,1038052.967,193240.9691,11435,QN61,Jamaica
"90 37 PARSONS BOULEVARD JAMAICA, NY",,4097560006,0,QUEENS,4,0,,412,JAMAICA,24,44601,44601,hhc_hospitals,HEALTH AND HUMAN SERVICES,HEALTH CARE,PARSONS COMMUNICARE CLINIC,HOSPITALS AND CLINICS,CHILD HEALTH CENTER,40.704091,-73.800269,QN61,QN1201,NYCHHC,NYC Health and Hospitals Corporation,Public,NYSDOH,NYS Department of Health,State,103,28,Regional,,c311e97256d84ef001da215e12c01b9d,1039628.131,195858.9463,11432,QN61,Jamaica
149-18 JAMAICA AVENUE,149-18,4099970008,4213992,QUEENS,4,0,,412,JAMAICA,27,21200,21200,nysdoh_healthfacilities,HEALTH AND HUMAN SERVICES,HEALTH CARE,MEDISYS FAMILY CARE CENTER,HOSPITALS AND CLINICS,HOSPITAL EXTENSION CLINIC,40.70180388,-73.80481509,QN61,QN1201,Non-public,Jamaica Hospital Inc,Non-public,NYSDOH,NYS Department of Health,State,103,28,Regional,JAMAICA AVENUE,a02b981ad79dd1e34a45313ce9ec3d69,1038369.525,195022.8415,11435,QN61,Jamaica
90-09 VAN WYCK EXPRESSWAY,90-09,4099720001,4213659,QUEENS,4,0,,412,JAMAICA,24,21200,21200,nysdoh_healthfacilities,HEALTH AND HUMAN SERVICES,HEALTH CARE,JAMAICA HOSPITAL MENTAL HEALTH CLINIC,HOSPITALS AND CLINICS,HOSPITAL EXTENSION CLINIC,40.70039669,-73.81468787,QN61,QN1201,Non-public,Jamaica Hospital Inc,Non-public,NYSDOH,NYS Department of Health,State,103,28,Regional,VAN WYCK EXPRESSWAY,fc1db992f1eb70c60359895671bc3e34,1035633.156,194504.2161,11435,QN61,Jamaica
175-10 88 AVENUE,175-10,4098330004,4448804,QUEENS,4,0,,412,JAMAICA,27,46200,46200,nysdoh_healthfacilities,HEALTH AND HUMAN SERVICES,HEALTH CARE,"CARE FOR THE HOMELESS, INC.",HOSPITALS AND CLINICS,DIAGNOSTIC AND TREATMENT CENTER EXTENSION CLINIC,40.71093937,-73.7865747,QN61,QN1201,Non-public,"Care For The Homeless, Inc",Non-public,NYSDOH,NYS Department of Health,State,103,29,Regional,88 AVENUE,be9ec8b03686fba1d64d85da202e5585,1043418.974,198362.961,11432,QN61,Jamaica
97-04 SUTPHIN BOULEVARD,97-04,4100300006,4214585,QUEENS,4,0,,412,JAMAICA,28,20800,20800,nysdoh_healthfacilities,HEALTH AND HUMAN SERVICES,HEALTH CARE,MOBILE EYE CLINIC,HOSPITALS AND CLINICS,MOBILE DIAGNOSTIC AND TREATMENT CENTER EXTENSION CLINIC,40.696915,-73.805971,QN61,QN1201,Non-public,Community Healthcare Network,Non-public,NYSDOH,NYS Department of Health,State,103,28,Regional,SUTPHIN BOULEVARD,d4b2203a800f4d4fb4fe60998d36f37c,1038052.967,193240.9691,11435,QN61,Jamaica
188-03 JAMAICA AVENUE,188-03,4104430020,4222077,QUEENS,4,0,,412,HOLLIS,23,48000,48000,nysdoh_healthfacilities,HEALTH AND HUMAN SERVICES,HEALTH CARE,MEDISYS FAMILY CARE CENTER,HOSPITALS AND CLINICS,HOSPITAL EXTENSION CLINIC,40.71114678,-73.77071052,QN61,QN1206,Non-public,Jamaica Hospital Inc,Non-public,NYSDOH,NYS Department of Health,State,103,29,Regional,JAMAICA AVENUE,f8b674ce61c047a2faa2e6059a912fad,1047816.873,198449.6405,11423,QN61,Jamaica
187-30 HILLSIDE AVENUE,187-30,4099360029,4536525,QUEENS,4,0,,412,JAMAICA,27,48000,48000,nysdoh_healthfacilities,HEALTH AND HUMAN SERVICES,HEALTH CARE,HILLSIDE POLYMEDIC DIAGNOSTIC AND TREATMENT CENTER,HOSPITALS AND CLINICS,DIAGNOSTIC AND TREATMENT CENTER,40.71480664,-73.7740901,QN61,QN1206,Non-public,Hillside Polymedic Diagnostic and Treatment Center,Non-public,NYSDOH,NYS Department of Health,State,103,29,Regional,HILLSIDE AVENUE,9cf352afd4a69fffa3c85380ddd1e3b9,1046876.503,199780.6007,11432,QN61,Jam-aica
176-60 UNION TURNPIKE,176-60,4072270005,4155422,QUEENS,4,0,,408,FRESH MEADOWS,24,127700,127700,nysdoh_healthfacilities,HEALTH AND HUMAN SERVICES,HEALTH CARE,HSS QUEENS OUTPATIENT CENTER,HOSPITALS AND CLINICS,HOSPITAL EXTENSION CLINIC,40.7257446,-73.79069863,QN06,QN0804,Non-public,NY Society for the Relief of The Ruptured & Crippled,Non-public,NYSDOH,NYS Department of Health,State,107,29,Regional,UNION TURNPIKE,626665d5a19d231ce4a45a7791839f96,1042262.791,203754.1843,11366,QN06,Jamaica Estates-Holliswood
171-19 HILLSIDE AVENUE,171-19,4098440042,4438690,QUEENS,4,0,,408,JAMAICA,24,45800,45800,nysdoh_healthfacilities,HEALTH AND HUMAN SERVICES,HEALTH CARE,JAMAICA HILLSIDE DIALYSIS,HOSPITALS AND CLINICS,DIAGNOSTIC AND TREATMENT CENTER EXTENSION CLINIC,40.71181669,-73.7907763,QN06,QN0804,Non-public,"Knickerbocker Dialysis, Inc",Non-public,NYSDOH,NYS Department of Health,State,107,29,Regional,HILLSIDE AVENUE,8605d1787ed26d062529bb20146068d4,1042253.384,198679.784,11432,QN06,Jamaica Estates-Holliswood
89-56 162 STREET,89-56,4097600074,4208872,QUEENS,4,0,,412,JAMAICA,24,44601,44601,nysdoh_healthfacilities,HEALTH AND HUMAN SERVICES,HEALTH CARE,THE FIREHOUSE HEALTH CLINIC,HOSPITALS AND CLINICS,DIAGNOSTIC AND TREATMENT CENTER EXTENSION CLINIC,40.70506089,-73.79840314,QN61,QN1201,Non-public,"Damian Family Care Centers, Inc.",Non-public,NYSDOH,NYS Department of Health,State,103,28,Regional,162 STREET,583f862f90a3d8ba032a0e2e0da83aa0,1040144.65,196213.4915,11432,QN61,Jamv aica
80-46 KEW GARDENS ROAD,80-46,4033490046,4080026,QUEENS,4,0,,409,KEW GARDENS,29,77300,77300,nysdoh_healthfacilities,HEALTH AND HUMAN SERVICES,HEALTH CARE,NEW YORK MEDICAL AND DIAGNOSTIC CENTER,HOSPITALS AND CLINICS,DIAGNOSTIC AND TREATMENT CENTER,40.71310473,-73.83017484,QN60,QN0901,Non-public,"New York Medical and Diagnostic Center, Inc",Non-public,NYSDOH,NYS Department of Health,State,102,28,Regional,KEW GARDENS ROAD,122dd1040543b0d4c8633570c2ec0e4d,1031329.976,199125.4229,11415,QN60,Kew Gardens
117-01 84 AVENUE,117-01,4033210113,4458689,QUEENS,4,0,,409,RICHMOND HILL,29,13400,13400,nysdoh_healthfacilities,HEALTH AND HUMAN SERVICES,HEALTH CARE,ATRIA KEW GARDENS,HOSPITALS AND CLINICS,ENRICHED HOUSING PROGRAM,40.70428126,-73.83454583,QN60,QN0901,Non-public,"ATR New York LH, Inc.",Non-public,NYSDOH,NYS Department of Health,State,102,27,Regional,84 AVENUE,c52391bf2b7ac4492feeeb0196e7e4f4,1030124.296,195908.4526,11418,QN60,Kew Gardens
120-46 QUEENS BOULEVARD,120-46,4033580018,4080152,QUEENS,4,0,,409,KEW GARDENS,29,21600,21601,nysdoh_healthfacilities,HEALTH AND HUMAN SERVICES,HEALTH CARE,KEW GARDENS DIALYSIS CENTER,HOSPITALS AND CLINICS,DIAGNOSTIC AND TREATMENT CENTER,40.7130048,-73.82881843,QN60,QN0901,Non-public,"Kew Gardens Dialysis Center, LLC",Non-public,NYSDOH,NYS Department of Health,State,102,28,Regional,QUEENS BOULEVARD,db84bedb4a6716d80a08afac3da181a6,1031706.079,199089.7466,11415,QN60,Kew Gardens
134-35 SPRINGFIELD BOULEVARD,134-35,4130130039,4279972,QUEENS,4,0,,413,SPRINGFIELD GARDENS,31,35800,35800,nysdoh_healthfacilities,HEALTH AND HUMAN SERVICES,HEALTH CARE,SPRINGFIELD DIALYSIS CENTER,HOSPITALS AND CLINICS,DIAGNOSTIC AND TREATMENT CENTER EXTENSION CLINIC,40.67908964,-73.75326888,QN66,QN1305,Non-public,Ridgewood Dialysis Center Inc,Non-public,NYSDOH,NYS Department of Health,State,105,29,Regional,SPRINGFIELD BOULEVARD,227680dc3092e2ed04328bd14988c9bf,1052685.178,186783.4606,11413,QN66,Laurelton
156-10 CROSS BAY BOULEVARD,156-10,4139570012,4448962,QUEENS,4,0,,410,HOWARD BEACH,32,89200,89201,nysdoh_healthfacilities,HEALTH AND HUMAN SERVICES,HEALTH CARE,MEDISYS HOWARD BEACH WOMEN&CHILDREN CARE,HOSPITALS AND CLINICS,HOSPITAL EXTENSION CLINIC,40.6631254,-73.84143372,QN57,QN1003,Non-public,Jamaica Hospital Inc,Non-public,NYSDOH,NYS Department of Health,State,106,27,Regional,CROSS BAY BOULEVARD,5da11f122604a6363f30385790288024,1028241.683,180910.674,11414,QN57,Lindenwood-Howard Beach
82-12 151 AVENUE,82-12,4114290001,4448909,QUEENS,4,0,,410,HOWARD BEACH,32,6202,6202,nysdoh_healthfacilities,HEALTH AND HUMAN SERVICES,HEALTH CARE,PHYSICIANS CHOICE SURGICENTER,HOSPITALS AND CLINICS,DIAGNOSTIC AND TREATMENT CENTER,40.66740643,-73.85150076,QN57,QN1003,Non-public,Physicians Choice Surgicenter,Non-public,NYSDOH,NYS Department of Health,State,106,27,Regional,151 AVENUE,7d6f4b52caeb03fd6e4d1da7e09cd74a,1025446.102,182465.4764,11414,QN57,Lindenwood-Howard Beach
60-40 FRESH POND ROAD,60-40,4027440036,4061301,QUEENS,4,0,,405,MASPETH,30,60100,60100,nysdoh_healthfacilities,HEALTH AND HUMAN SERVICES,HEALTH CARE,FMS-QUEENS KIDNEY CARE,HOSPITALS AND CLINICS,DIAGNOSTIC AND TREATMENT CENTER EXTENSION CLINIC,40.71591891,-73.90187995,QN30,QN0501,Non-public,New York Dialysis Services Inc,Non-public,NYSDOH,NYS Department of Health,State,104,24,Regional,FRESH POND ROAD,5caf5afaa888d9c5ee54677fe8f3c2e5,1011450.308,200120.3117,11378,QN30,Maspeth
36-17 PARSONS BOULEVARD,36-17,4050140004,4113418,QUEENS,4,0,,407,FLUSHING,20,116300,116301,nysdoh_healthfacilities,HEALTH AND HUMAN SERVICES,HEALTH CARE,"QUEENS DIALYSIS AT THE PAVILION, LLC",HOSPITALS AND CLINICS,DIAGNOSTIC AND TREATMENT CENTER,40.76412057,-73.82266027,QN51,QN0704,Non-public,"Queens Dialysis at The Pavilion, LLC",Non-public,NYSDOH,NYS Department of Health,State,109,25,Regional,PARSONS BOULEVARD,02b55836e1bb48107aba04fd1a4d163e,1033375.579,217716.1982,11354,QN51,Murray Hill
39-20 UTOPIA PARKWAY,39-20,4053230210,4120202,QUEENS,4,0,,407,FLUSHING,19,117500,117500,nysdoh_healthfacilities,HEALTH AND HUMAN SERVICES,HEALTH CARE,ROGOSIN KIDNEY CENTER - AUBURNDALE,HOSPITALS AND CLINICS,DIAGNOSTIC AND TREATMENT CENTER EXTENSION CLINIC,40.76090029,-73.79390407,QN51,QN0704,Non-public,The Rogosin Institute Inc,Non-public,NYSDOH,NYS Department of Health,State,109,25,Regional,UTOPIA PARKWAY,0a2fc75ed654ce2a73dc40ed98294fdb,1041344.195,216560.3826,11358,QN51,Murray Hill
34 33 JUNCTION BOULEVARD JACKSON HEIGHTS NY,,4017290027,0,QUEENS,4,0,,403,JACKSON HEIGHTS,21,37500,37502,hhc_hospitals,HEALTH AND HUMAN SERVICES,HEALTH CARE,JUNCTION BOULEVARD CHILD HEALTH CLINIC,HOSPITALS AND CLINICS,CHILD HEALTH CENTER,40.754211,-73.871968,QN26,QN0303,NYCHHC,NYC Health and Hospitals Corporation,Public,NYSDOH,NYS Department of Health,State,115,30,Regional,,5cb1f0645b7f462c2bed17c76e8c2312,1019721.939,214082.0129,11372,QN26,North Corona
34-33 JUNCTION BOULEVARD,34-33,4017290027,4042887,QUEENS,4,0,,403,JACKSON HEIGHTS,21,37500,37502,nysdoh_healthfacilities,HEALTH AND HUMAN SERVICES,HEALTH CARE,CORONA HEALTH CENTER,HOSPITALS AND CLINICS,DIAGNOSTIC AND TREATMENT CENTER EXTENSION CLINIC,40.75421316,-73.8719673,QN26,QN0303,NYCDOHMH,NYC Department of Health and Mental Hygiene,Public,NYSDOH,NYS Department of Health,State,115,30,Regional,JUNCTION BOULEVARD,9e5a963b2f96d5013f6378ac1eb3481c,1019722.13,214082.7993,11372,QN26,North Corona
37-12 108 STREET,37-12,4017730010,4437230,QUEENS,4,0,,403,CORONA,21,40300,40302,nysdoh_healthfacilities,HEALTH AND HUMAN SERVICES,HEALTH CARE,URBAN HEALTH PLAN EXTENSION CLINIC,HOSPITALS AND CLINICS,DIAGNOSTIC AND TREATMENT CENTER EXTENSION CLINIC,40.75356366,-73.86052389,QN26,QN0303,Non-public,Urban Health Plan Inc,Non-public,NYSDOH,NYS Department of Health,State,115,24,Regional,108 STREET,daa478ff5128321a8d77b4250ab85c81,1022892.962,213851.0092,11368,QN26,North Corona
98-02 ROOSEVELT AVENUE,98-02,4016070001,0,QUEENS,4,0,,404,CORONA,21,40900,40901,nysdoh_healthfacilities,HEALTH AND HUMAN SERVICES,HEALTH CARE,P.S. 019 MARINO JEANTET,HOSPITALS AND CLINICS,SCHOOL BASED HOSPITAL EXTENSION CLINIC,40.7485647,-73.86654511,QN26,QN0402,Non-public,NYU Langone Hospitals,Non-public,NYSDOH,NYS Department of Health,State,110,24,Regional,ROOSEVELT AVENUE,ada41f9ab72758f2a39c36b5569a9df5,1021227.512,212027.1298,11368,QN26,North Corona
34-33 JUNCTION BOULEVARD,34-33,4017290027,4042887,QUEENS,4,0,,403,JACKSON HEIGHTS,21,37500,37502,nysdoh_healthfacilities,HEALTH AND HUMAN SERVICES,HEALTH CARE,CORONA DISTRICT HEALTH CENTER,HOSPITALS AND CLINICS,DIAGNOSTIC AND TREATMENT CENTER EXTENSION CLINIC,40.75421316,-73.8719673,QN26,QN0303,Non-public,NYC Health and Hospitals Corporation,Non-public,NYSDOH,NYS Department of Health,State,115,30,Regional,JUNCTION BOULEVARD,f1a06f1492e5fdf18b03d9286187ed18,1019722.13,214082.7993,11372,QN26,North Corona
